dataset,model,MASE,WQL
dominick,chronos2_baseline,0.8085800483106148,0.3243885349226782
ercot,chronos2_baseline,0.8317662186890802,0.025958189613781563
exchange_rate,chronos2_baseline,1.852047382645966,0.012115548233543435
m4_quarterly,chronos2_baseline,1.2007946230142297,0.07597317247404849
monash_australian_electricity,chronos2_baseline,0.6291610325641912,0.030728297057602865
monash_hospital,chronos2_baseline,0.7725827042333077,0.053917414195701605
monash_tourism_monthly,chronos2_baseline,1.4225788833142736,0.07252005993105703
monash_traffic,chronos2_baseline,0.8183648428831075,0.24151446216289799
monash_weather,chronos2_baseline,0.7741442144738919,0.12532563126120114
nn5,chronos2_baseline,0.5768131931333657,0.1487522070955335
dominick,chronos2_cross_learning,0.8238234134993723,0.3237330777502456
ercot,chronos2_cross_learning,0.7764983454877932,0.024569422580865214
exchange_rate,chronos2_cross_learning,1.8787514800799205,0.012138186738277802
m4_quarterly,chronos2_cross_learning,1.1665620393747786,0.07391708190661782
monash_australian_electricity,chronos2_cross_learning,0.6134630480759168,0.028783592144935644
monash_hospital,chronos2_cross_learning,0.7489755183665072,0.051441957436372115
monash_tourism_monthly,chronos2_cross_learning,1.4239656947197223,0.07112560259169166
monash_traffic,chronos2_cross_learning,0.8298362220401423,0.24257936912692127
monash_weather,chronos2_cross_learning,0.7773995739090959,0.1258605789933266
nn5,chronos2_cross_learning,0.5589826021115017,0.14532515662096027
dominick,chronos2_cross_group_attention,0.8319238803952881,0.3274093389727864
ercot,chronos2_cross_group_attention,0.7867095139731098,0.024512285588302204
exchange_rate,chronos2_cross_group_attention,1.8503293826672131,0.010139029077445898
m4_quarterly,chronos2_cross_group_attention,1.1988113397678883,0.07513921249501716
monash_australian_electricity,chronos2_cross_group_attention,0.6038210060872092,0.028308777258346723
monash_hospital,chronos2_cross_group_attention,0.7492911006973365,0.05038329868134114
monash_tourism_monthly,chronos2_cross_group_attention,1.4555927537207662,0.0782393427900521
monash_traffic,chronos2_cross_group_attention,0.8145720457365176,0.23514171124625038
monash_weather,chronos2_cross_group_attention,0.780919635782127,0.12632185465861767
nn5,chronos2_cross_group_attention,0.5598314247407048,0.14518781680286255
